name,type,dex_num,category,target,power,accuracy,priority,pp,short_description,long_description,has_secondary_effect,is_multi_hit,multi_hit_high,multi_hit_low,ignores_substitute,ignores_protect,bounceable,bite,bullet,contact,dance,heal,powder,pulse,punch,slice,sound,wind,boosted_by_sheer_force,ohko,is_z_move,is_max_move,is_legal
Bulk Up,"""Fighting""",339,Status,self,0,-1,0,20,Raises the user's Attack and Defense by 1.,Raises the user's Attack and Defense by 1 stage.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bulldoze,"""Ground""",523,Physical,allAdjacent,60,100,0,20,100% chance lower adjacent Pkmn Speed by 1.,Has a 100% chance to lower the target's Speed by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bullet Punch,"""Steel""",418,Physical,normal,40,100,1,30,Usually goes first.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Bullet Seed,"""Grass""",331,Physical,normal,25,100,0,30,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times.",0,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burning Bulwark,"""Fire""",908,Status,self,0,-1,4,10,Protects from damaging attacks. Contact: burn.,"The user is protected from most attacks made by other Pokemon during this turn, and Pokemon trying to make contact with the user become burned. Non-damaging moves go through this protection. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burning Jealousy,"""Fire""",807,Special,allAdjacentFoes,70,100,0,5,100% burns a target that had a stat rise this turn.,Has a 100% chance to burn the target if it had a stat stage raised this turn.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Burn Up,"""Fire""",682,Special,normal,130,100,0,5,User's Fire type becomes typeless; must be Fire.,"Fails unless the user is a Fire type. If this move is successful and the user is not Terastallized, the user's Fire type becomes typeless as long as it remains active.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buzzy Buzz,"""Electric""",734,Special,normal,60,100,0,20,100% chance to paralyze the foe.,Has a 100% chance to paralyze the foe.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Calm Mind,"""Psychic""",347,Status,self,0,-1,0,20,Raises the user's Sp. Atk and Sp. Def by 1.,Raises the user's Special Attack and Special Defense by 1 stage.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Camouflage,"""Normal""",293,Status,self,0,-1,0,20,Changes user's type by terrain (default Normal).,"The user's type changes based on the battle terrain. Normal type on the regular Wi-Fi terrain, Electric type during Electric Terrain, Fairy type during Misty Terrain, Grass type during Grassy Terrain, and Psychic type during Psychic Terrain. Fails if the user's type cannot be changed or if the user is already purely that type.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captivate,"""Normal""",445,Status,allAdjacentFoes,0,100,0,20,Lowers the foe(s) Sp. Atk by 2 if opposite gender.,"Lowers the target's Special Attack by 2 stages. The target is unaffected if both the user and the target are the same gender, or if either is genderless. Pokemon with the Oblivious Ability are immune.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catastropika,"""Electric""",658,Physical,normal,210,-1,0,1,No additional effect.,No additional effect.,0,0,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Ceaseless Edge,"""Dark""",845,Physical,normal,65,90,0,15,Sets a layer of Spikes on the opposing side.,"If this move is successful, it sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. A maximum of three layers may be set, and opponents lose 1/8 of their maximum HP with one layer, 1/6 of their maximum HP with two layers, and 1/4 of their maximum HP with three layers, all rounded down. Can be removed from the opposing side if any Pokemon uses Tidy Up, or if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Celebrate,"""Normal""",606,Status,self,0,-1,0,40,No competitive use.,No competitive use.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Charge,"""Electric""",268,Status,self,0,-1,0,20,"+1 SpD, user's next Electric move 2x power.","Raises the user's Special Defense by 1 stage. The user's next Electric-type attack will have its power doubled; the effect ends when the user is no longer active, or after the user attempts to use any Electric-type move besides Charge, even if it is not successful.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Charge Beam,"""Electric""",451,Special,normal,50,90,0,10,70% chance to raise the user's Sp. Atk by 1.,Has a 70% chance to raise the user's Special Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Charm,"""Fairy""",204,Status,normal,0,100,0,20,Lowers the target's Attack by 2.,Lowers the target's Attack by 2 stages.,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chatter,"""Flying""",448,Special,any,65,100,0,20,100% chance to confuse the target.,Has a 100% chance to confuse the target.,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Chilling Water,"""Water""",886,Special,normal,50,100,0,20,100% chance to lower the target's Attack by 1.,Has a 100% chance to lower the target's Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chilly Reception,"""Ice""",881,Status,all,0,-1,0,10,Starts Snow. User switches out.,"For 5 turns, the weather becomes Snow. The user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chip Away,"""Normal""",498,Physical,normal,70,100,0,20,Ignores the target's stat stage changes.,"Ignores the target's stat stage changes, including evasiveness.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroblast,"""Grass""",835,Special,normal,150,95,0,5,User loses 50% max HP.,"If this move is successful, the user loses 1/2 of its maximum HP, rounded up, unless the user has the Magic Guard or Rock Head Abilities.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Circle Throw,"""Fighting""",509,Physical,normal,60,90,-6,10,Forces the target to switch to a random ally.,"If both the user and the target have not fainted, the target is forced to switch out and be replaced with a random unfainted ally. This effect fails if the target is under the effect of Ingrain, has the Suction Cups Ability, or this move hit a substitute.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Clamp,"""Water""",128,Physical,normal,35,85,0,15,Traps and damages the target for 4-5 turns.,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clanging Scales,"""Dragon""",691,Special,allAdjacentFoes,110,100,0,5,Lowers the user's Defense by 1.,Lowers the user's Defense by 1 stage.,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Clangorous Soul,"""Dragon""",775,Status,self,0,100,0,5,User loses 33% of its max HP. +1 to all stats.,"Raises the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage in exchange for the user losing 33% of its maximum HP, rounded down. Fails if the user would faint or if its Attack, Defense, Special Attack, Special Defense, and Speed stat stages would not change.",0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Clangorous Soulblaze,"""Dragon""",728,Special,allAdjacentFoes,185,-1,0,1,Raises the user's Atk/Def/SpAtk/SpDef/Spe by 1.,"Raises the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Clear Smog,"""Poison""",499,Special,normal,50,-1,0,15,Resets all of the target's stat stages to 0.,Resets all of the target's stat stages to 0.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Close Combat,"""Fighting""",370,Physical,normal,120,100,0,5,Lowers the user's Defense and Sp. Def by 1.,Lowers the user's Defense and Special Defense by 1 stage.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Coaching,"""Fighting""",811,Status,adjacentAlly,0,-1,0,10,Raises an ally's Attack and Defense by 1.,Raises the target's Attack and Defense by 1 stage. Fails if there is no ally adjacent to the user.,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Coil,"""Poison""",489,Status,self,0,-1,0,20,"Raises user's Attack, Defense, accuracy by 1.","Raises the user's Attack, Defense, and accuracy by 1 stage.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Collision Course,"""Fighting""",878,Physical,normal,100,100,0,5,Deals 1.3333x damage with supereffective hits.,Damage is multiplied by 1.3333 if this move is super effective against the target.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Combat Torque,"""Fighting""",899,Physical,normal,100,100,0,10,30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Comet Punch,"""Normal""",4,Physical,normal,18,85,0,15,Hits 2-5 times in one turn.,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",0,1,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Comeuppance,"""Dark""",894,Physical,scripted,0,100,0,10,"If hit by an attack, returns 1.5x damage.","Deals damage to the last opposing Pokemon to hit the user with a physical or special attack this turn equal to 1.5 times the HP lost by the user from that attack, rounded down. If the user did not lose HP from that attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical or special attack this turn.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Confide,"""Normal""",590,Status,normal,0,-1,0,20,Lowers the target's Sp. Atk by 1.,Lowers the target's Special Attack by 1 stage.,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Confuse Ray,"""Ghost""",109,Status,normal,0,100,0,10,Confuses the target.,Causes the target to become confused.,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Confusion,"""Psychic""",93,Special,normal,50,100,0,25,10% chance to confuse the target.,Has a 10% chance to confuse the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Constrict,"""Normal""",132,Physical,normal,10,100,0,35,10% chance to lower the target's Speed by 1.,Has a 10% chance to lower the target's Speed by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Continental Crush,"""Rock""",632,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Conversion,"""Normal""",160,Status,self,0,-1,0,30,Changes user's type to match its first move.,"The user's type changes to match the original type of the move in its first move slot. Fails if the user cannot change its type, or if the type is one of the user's current types.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Conversion 2,"""Normal""",176,Status,normal,0,-1,0,30,Changes user's type to resist target's last move.,"The user's type changes to match a type that resists or is immune to the type of the last move used by the target, but not either of its current types. The determined type of the move is used rather than the original type. Fails if the target has not made a move, if the user cannot change its type, or if this move would only be able to select one of the user's current types.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Copycat,"""Normal""",383,Status,self,0,-1,0,20,Uses the last move used in the battle.,"The user uses the last move used by any Pokemon, including itself. Fails if no move has been used, or if the last move used was Assist, Baneful Bunker, Beak Blast, Behemoth Bash, Behemoth Blade, Belch, Bestow, Blazing Torque, Celebrate, Chatter, Circle Throw, Combat Torque, Copycat, Counter, Covet, Destiny Bond, Detect, Dragon Tail, Dynamax Cannon, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Magical Torque, Mat Block, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Protect, Rage Powder, Roar, Shell Trap, Sketch, Sleep Talk, Snatch, Spiky Shield, Spotlight, Struggle, Switcheroo, Tera Starstorm, Thief, Transform, Trick, Whirlwind, or Wicked Torque.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Core Enforcer,"""Dragon""",687,Special,allAdjacentFoes,100,100,0,10,Nullifies the foe(s) Ability if the foe(s) move first.,"If the user moves after the target, the target's Ability is rendered ineffective as long as it remains active. If the target uses Baton Pass, the replacement will remain under this effect. If the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, or Zero to Hero, this effect does not happen, and receiving the effect through Baton Pass ends the effect immediately.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corkscrew Crash,"""Steel""",638,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Corrosive Gas,"""Poison""",810,Status,allAdjacent,0,100,0,40,Removes adjacent Pokemon's held items.,"The target loses its held item. This move cannot cause Pokemon with the Sticky Hold Ability to lose their held item or cause a Kyogre, a Groudon, a Giratina, an Arceus, a Genesect, a Silvally, a Zacian, or a Zamazenta to lose their Blue Orb, Red Orb, Griseous Orb, Plate, Drive, Memory, Rusted Sword, or Rusted Shield respectively. Items lost to this move cannot be regained with Recycle or the Harvest Ability.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmic Power,"""Psychic""",322,Status,self,0,-1,0,20,Raises the user's Defense and Sp. Def by 1.,Raises the user's Defense and Special Defense by 1 stage.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cotton Guard,"""Grass""",538,Status,self,0,-1,0,10,Raises the user's Defense by 3.,Raises the user's Defense by 3 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cotton Spore,"""Grass""",178,Status,allAdjacentFoes,0,100,0,40,Lowers the target's Speed by 2.,Lowers the target's Speed by 2 stages.,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Counter,"""Fighting""",68,Physical,scripted,0,100,-5,20,"If hit by physical attack, returns double damage.","Deals damage to the last opposing Pokemon to hit the user with a physical attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical attack this turn.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Court Change,"""Normal""",756,Status,all,0,100,0,10,Swaps user's field effects with the opposing side.,"Switches the Mist, Light Screen, Reflect, Spikes, Safeguard, Tailwind, Toxic Spikes, Stealth Rock, Water Pledge, Fire Pledge, Grass Pledge, Sticky Web, Aurora Veil, G-Max Steelsurge, G-Max Cannonade, G-Max Vine Lash, and G-Max Wildfire effects from the user's side to the opposing side and vice versa.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Covet,"""Normal""",343,Physical,normal,60,100,0,25,"If the user has no item, it steals the target's.","If this attack was successful and the user has not fainted, it steals the target's held item if the user is not holding one. The target's item is not stolen if it is a Mail or Z-Crystal, or if the target is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, or a Pokemon that can Mega Evolve holding the Mega Stone for its species. Items lost to this move cannot be regained with Recycle or the Harvest Ability.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Crabhammer,"""Water""",152,Physical,normal,100,90,0,10,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Crafty Shield,"""Fairy""",578,Status,allySide,0,-1,3,10,Protects allies from Status moves this turn.,"The user and its party members are protected from non-damaging attacks made by other Pokemon, including allies, during this turn. Fails if the user moves last this turn or if this move is already in effect for the user's side.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross Chop,"""Fighting""",238,Physical,normal,100,80,0,5,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
